hint,keyword
Állat,Bagoly
Állat,Bálna
Állat,Bárány
Állat,Béka
Állat,Bika
Állat,Cápa
Állat,Csiga
Állat,Csikóhal
Állat,Csirke
Állat,Csótány
Állat,Delfin
Állat,Denevér
Állat,Elefánt
Állat,Flamingó
Állat,Garnélarák
Állat,Hangya
Állat,Harkály
Állat,Hattyú
Állat,Hód
Állat,Homár
Állat,Horgászhal
Állat,Imádkozó sáska
Állat,Kacsacsőrű emlős
Állat,Kagyló
Állat,Kaméleon
Állat,Kardhal
Állat,Katicabogár
Állat,Kecske
Állat,Kenguru
Állat,Koala
Állat,Kobra
Állat,Krokodil
Állat,Kutya
Állat,Lajhár
Állat,Ló
Állat,Macska
Állat,Majom
Állat,Malac
Állat,Medúza
Állat,Méh
Állat,Mókus
Állat,Mosómedve
Állat,Narvál
Állat,Nautilusz
Állat,Nyúl
Állat,Oroszlán
Állat,Orrszarvú
Állat,Páva
Állat,Pelikán
Állat,Pillangó
Állat,Pingvin
Állat,Pók
Állat,Polip
Állat,Pterodaktilusz
Állat,Pulyka
Állat,Rája
Állat,Rák
Állat,Remeterák
Állat,Rozmár
Állat,Skorpió
Állat,Strucc
Állat,Szarvas
Állat,Szarvasbogár
Állat,Szitakötő
Állat,Sztegoszaurusz
Állat,Szúnyog
Állat,Tatú
Állat,Tehén
Állat,Teknős
Állat,Tengeri csillag
Állat,Teve
Állat,Tintahal
Állat,T-Rex
Állat,Triceratopsz
Állat,Velociraptor
Állat,Vízlió
Állat,Zsiráf
Esemény,Babaváró
Esemény,Érettségi
Esemény,Esküvő
Esemény,Hálaadás
Esemény,Halloween
Esemény,Hanuka
Esemény,Húsvét
Esemény,Karácsony
Esemény,Napfogyatkozás
Esemény,Ottalvás
Esemény,Szent Patrik napja
Esemény,Születésnap
Esemény,Temetés
Eszköz,Bilincs
Eszköz,Ceruzafaragó
Eszköz,Csavarhúzó
Eszköz,Ecset
Eszköz,Egércsapda
Eszköz,Elemlámpa
Eszköz,Esernyő
Eszköz,Fejsze
Eszköz,Gázmaszk
Eszköz,Habverő
Eszköz,Iránytű
Eszköz,Kalapács
Eszköz,Kézi fúró
Eszköz,Kézifűrész
Eszköz,Láncfűrész
Eszköz,Mérőszalag
Eszköz,Mikroszkóp
Eszköz,Olló
Eszköz,Ragasztószalag
Eszköz,Síp
Eszköz,Számológép
Eszköz,Távcső
